10000, 0.013
20000, 0.018
30000, 0.032
40000, 0.041
50000, 0.064
60000, 0.058
70000, 0.119
80000, 0.142
90000, 0.109
100000, 0.142
110000, 0.191
120000, 0.203
130000, 0.238
140000, 0.249
150000, 0.298
160000, 0.26
170000, 0.342
180000, 0.301
190000, 0.403
200000, 0.4
210000, 0.393
220000, 0.442
230000, 0.518
240000, 0.461
250000, 0.497
260000, 0.588
270000, 0.523
280000, 0.658
290000, 0.618
300000, 0.686
310000, 0.585
320000, 0.729
330000, 0.776
340000, 0.674
350000, 0.782
360000, 0.732
370000, 0.822
380000, 0.833
390000, 0.914
400000, 0.849
410000, 0.964
420000, 0.901
430000, 0.955
440000, 1.031
450000, 0.932
460000, 1.11
470000, 0.978
480000, 1.081
490000, 1.065
500000, 1.172
510000, 1.01
520000, 1.17
530000, 1.179
540000, 1.194
550000, 1.216
560000, 1.255
570000, 1.303
580000, 1.254
590000, 1.382
600000, 1.252
610000, 1.433
620000, 1.384
630000, 1.367
640000, 1.489
650000, 1.399
660000, 1.488
670000, 1.525
680000, 1.443
690000, 1.68
700000, 1.467
710000, 1.656
720000, 1.653
730000, 1.594
740000, 1.675
750000, 1.815
760000, 1.725
770000, 1.698
780000, 1.929
790000, 1.804
800000, 1.815
810000, 1.77
820000, 1.852
830000, 1.906
840000, 1.906
850000, 1.946
860000, 2.054
870000, 1.939
880000, 2.149
890000, 1.997
900000, 2.11
910000, 2.106
920000, 2.083
930000, 2.125
940000, 2.107
950000, 2.333
960000, 2.031
970000, 2.276
980000, 2.323
990000, 2.155
1000000, 2.357
